"","Group","Test%","Time"
"1","Quiz",14.28571,31.87
"2","Quiz",19.04762,90.63
"3","Quiz",28.57143,25.88
"4","Quiz",14.28571,27.98
"5","Quiz",33.33333,52.83
"6","Quiz",28.57143,71.62
"7","Quiz",23.80952,65.5
"8","Quiz",14.28571,36.03
"9","Quiz",19.04762,23.47
"10","Quiz",19.04762,26.73
"11","Quiz",28.57143,32.83
"12","Quiz",23.80952,39.55
"13","Quiz",14.28571,31.42
"14","Quiz",38.09524,25.27
"15","Quiz",28.57143,54.23
"16","Quiz",33.33333,39.42
"17","Quiz",42.85714,51.77
"18","Quiz",33.33333,107.05
"19","Quiz",33.33333,23.42
"20","Quiz",28.57143,69.37
"21","Quiz",14.28571,29.58
"22","Quiz",23.80952,36.08
"23","Quiz",23.80952,40.52
"24","Quiz",33.33333,24.13
"25","Quiz",28.57143,44.8
"26","Quiz",28.57143,25.77
"27","Quiz",23.80952,27.98
"28","Quiz",23.80952,49.05
"29","Quiz",23.80952,28.58
"30","Quiz",47.61905,58.8
"31","Quiz",33.33333,55.67
"32","Quiz",28.57143,26.13
"33","Quiz",28.57143,29.58
"34","Quiz",23.80952,25.1
"35","Quiz",23.80952,NA
"36","Quiz",47.61905,21.08
"37","Quiz",47.61905,20.48
"38","Quiz",42.85714,27.13
"39","Quiz",28.57143,25.27
"40","Quiz",23.80952,23.73
"41","Quiz",42.85714,38.77
"42","Quiz",42.85714,24.23
"43","Quiz",33.33333,30.85
"44","Quiz",28.57143,53.4
"45","Quiz",28.57143,22.45
"46","Quiz",38.09524,22
"47","Quiz",38.09524,25.93
"48","Quiz",33.33333,43.75
"49","Quiz",23.80952,21.93
"50","Quiz",52.38095,50.25
"51","Quiz",47.61905,35.6
"52","Quiz",28.57143,43.55
"53","Quiz",57.14286,71.52
"54","Quiz",42.85714,23.72
"55","Quiz",38.09524,22.8
"56","Quiz",57.14286,50.52
"57","Quiz",33.33333,22.93
"58","Quiz",28.57143,43.38
"59","Quiz",47.61905,41.53
"60","Quiz",47.61905,36.6
"61","Quiz",47.61905,30.5
"62","Quiz",42.85714,25.07
"63","Quiz",61.90476,29.77
"64","Quiz",52.38095,43.17
"65","Quiz",47.61905,23.87
"66","Quiz",47.61905,35.6
"67","Quiz",38.09524,51.48
"68","Quiz",57.14286,68.42
"69","Quiz",47.61905,34.6
"70","Quiz",61.90476,43.12
"71","Quiz",57.14286,60.18
"72","Quiz",47.61905,30.63
"73","Quiz",47.61905,21.4
"74","Quiz",47.61905,45.82
"75","Quiz",42.85714,42.97
"76","Quiz",61.90476,73.08
"77","Quiz",61.90476,49.23
"78","Quiz",61.90476,86.27
"79","Quiz",66.66667,24.65
"80","Quiz",66.66667,29.27
"81","Quiz",61.90476,52.18
"82","Quiz",61.90476,42.23
"83","Quiz",57.14286,43.07
"84","Quiz",71.42857,66.12
"85","Quiz",71.42857,16.75
"86","Quiz",61.90476,27.75
"87","Quiz",76.19048,33.85
"88","Quiz",71.42857,33.12
"89","Quiz",66.66667,29.37
"90","Quiz",66.66667,59.7
"91","Quiz",76.19048,45.55
"92","Quiz",71.42857,30.28
"93","Quiz",90.47619,37.4
"94","Quiz",85.71429,20.8
"95","Quiz",95.2381,61.82
