"","Diff reliability","Diff confidence","Condition"
"1",-0.55555534,0,"BadNews"
"2",-0.33333325,0,"BadNews"
"3",-1.1666665,0.16666651,"BadNews"
"4",0,-0.38888884,"BadNews"
"5",-0.88888884,0.38888884,"BadNews"
"6",-0.77777791,0.055555344,"BadNews"
"7",0.27777791,-0.05555582,"BadNews"
"8",0,-0.11111116,"BadNews"
"9",0.44444442,-0.33333349,"BadNews"
"10",-1.7222223,-1.5555558,"BadNews"
"11",-0.61111116,0.55555582,"BadNews"
"12",0.38888884,-0.38888884,"BadNews"
"13",-0.16666675,-0.27777767,"BadNews"
"14",-0.94444466,0.94444466,"BadNews"
"15",0.16666651,0.38888931,"BadNews"
"16",-0.94444442,-0.55555582,"BadNews"
"17",-0.38888884,0.33333349,"BadNews"
"18",-0.94444442,0.72222233,"BadNews"
"19",0.44444442,-0.77777815,"BadNews"
"20",-0.22222209,0,"BadNews"
"21",0.16666675,0.5,"BadNews"
"22",-0.61111116,0.33333349,"BadNews"
"23",-0.88888884,0.55555582,"BadNews"
"24",-3.7777777,0.77777767,"BadNews"
"25",-0.33333325,0.5,"BadNews"
"26",0.66666675,0.055555344,"BadNews"
"27",-0.27777767,0.22222233,"BadNews"
"28",-0.94444466,0.72222233,"BadNews"
"29",-0.22222209,-0.11111116,"BadNews"
"30",0.77777767,-0.05555582,"BadNews"
"31",0.61111116,-0.77777815,"BadNews"
"32",-0.55555558,0,"BadNews"
"33",0.16666651,-0.05555582,"BadNews"
"34",-0.33333337,1.6111107,"BadNews"
"35",-2.0555553,0.16666651,"BadNews"
"36",-0.5,-0.72222221,"BadNews"
"37",-0.22222233,0.55555534,"BadNews"
"38",0.055555582,-0.16666651,"BadNews"
"39",-0.22222233,0.38888884,"BadNews"
"40",-0.5,1,"BadNews"
"41",-1.2222222,0.38888884,"BadNews"
"42",-0.44444454,0.11111069,"BadNews"
"43",0.16666651,0.55555534,"BadNews"
"44",0.22222209,-0.22222185,"BadNews"
"45",0.38888884,0.55555582,"BadNews"
"46",0.16666675,-0.16666651,"BadNews"
"47",-2.5555556,0.5,"BadNews"
"48",0.11111116,0.05555582,"BadNews"
"49",0.5,0.22222185,"BadNews"
"50",-0.66666663,0.22222233,"BadNews"
"51",-0.49999988,0.5,"BadNews"
"52",-2.2777777,-0.11111116,"BadNews"
"53",-0.83333325,1,"BadNews"
"54",-1,-0.5,"BadNews"
"55",0.11111116,-0.44444466,"BadNews"
"56",-0.27777767,-0.16666698,"BadNews"
"57",-0.22222233,0.38888884,"BadNews"
"58",-1.8333333,2.1666665,"BadNews"
"59",-0.44444418,0.5,"BadNews"
"60",0.055555344,0.44444418,"BadNews"
"61",-0.16666675,0.77777767,"BadNews"
"62",-0.16666651,0.055555344,"BadNews"
"63",-0.44444442,-0.72222185,"BadNews"
"64",-0.5,0.55555582,"BadNews"
"65",-0.61111116,-0.77777767,"BadNews"
"66",1,-0.72222233,"BadNews"
"67",-0.61111116,1,"BadNews"
