"","Ithaca gender","Ithaca IAT","SDSU gender","SDSU IAT"
"1","female",1.1,"female",0.9
"2","female",0.53,"female",-0.47
"3","female",0.28,"female",0.47
"4","female",0.32,"female",-0.03
"5","female",1.21,"male",0.14
"6","female",0.92,"female",0.62
"7","male",-0.05,"female",0.89
"8","female",0.74,"male",0.07
"9","male",1.18,"female",0.22
"10","female",0.15,"male",0.31
"11","female",0.56,"female",1.23
"12","female",-0.56,"female",0.09
"13","female",-0.6,"female",-0.01
"14","female",0.21,"female",1.03
"15","female",0.51,"female",0.37
"16","female",1.04,"female",0.6
"17","female",1.26,"male",1.21
"18","female",0.83,"male",0.38
"19","female",-0.37,"female",0.62
"20","female",-0.06,"male",0.06
"21","female",0.34,"female",-0.28
"22","female",0.24,"female",0.03
"23","female",0.91,"female",1.01
"24","female",0.78,"female",0.89
"25","female",0.77,"female",0.41
"26","female",0.63,"male",0.32
"27","male",0.3,"female",-0.11
"28","female",-0.54,"female",0.1
"29","female",0.39,"female",0.89
"30","female",0.97,"male",0.75
"31","male",-0.73,"female",1.28
"32","female",-0.58,"female",0.58
"33","male",0.72,"female",0.05
"34","female",0.85,"male",-0.06
"35","male",0.33,"female",1.22
"36","female",0.27,"male",0.48
"37","female",0.35,"female",-0.64
"38","female",0.33,"female",1.08
"39","female",0.66,"female",0.31
"40","male",-0.48,"male",0.13
"41","female",0.49,"female",0.08
"42","female",-0.04,"female",0.79
"43","female",-0.35,"female",0.5
"44","female",0.21,"female",-0.08
"45","female",0.09,"male",-0.74
"46","female",0.26,"female",0.09
"47","female",1.08,"male",0.85
"48","female",0.88,"female",0.65
"49","female",0.62,"female",0.79
"50","female",0.52,"male",-0.38
"51","female",0.88,"male",-0.59
"52","female",0.66,"female",0.98
"53","female",0.67,"female",-0.3
"54","female",0.5,"female",0.81
"55","female",1.16,"female",1.2
"56","female",1.26,"female",0.99
"57","female",0.36,"male",0.83
"58","female",0.94,"female",0.67
"59","male",-0.32,"female",0.75
"60","female",0.33,"female",1.15
"61","female",0.48,"female",1
"62","female",0.6,"male",0.6
"63","female",1.03,"male",0.35
"64","male",0.32,"female",0.81
"65","female",0.89,"female",0.18
"66","female",0.28,"female",0.27
"67","male",0.74,"female",-0.11
"68","male",0.35,"female",-1
"69","female",0.46,"female",0.87
"70","male",1,"male",0.58
"71","female",1.19,"female",1.06
"72","male",0.88,"female",-0.64
"73","male",-0.21,"male",-0.07
"74","male",-0.36,"female",0.62
"75","female",0.61,"female",-0.2
"76","female",1,"female",0.08
"77","male",0.69,"female",-0.43
"78","female",0.68,"female",0.54
"79","female",0.87,"female",1.01
"80","female",1.03,"female",0.34
"81","female",1.05,"female",0.53
"82","female",0.62,"female",0.86
"83","female",0.68,"female",0.08
"84","male",0.32,"female",0.69
"85","female",0.54,"female",0.55
"86","female",1.12,"female",0.18
"87","female",0.95,"female",0.8
"88","female",0.71,"female",0.56
"89",NA,NA,"female",1.16
"90",NA,NA,"male",0.16
"91",NA,NA,"female",1.1
"92",NA,NA,"male",-0.27
"93",NA,NA,"female",0.97
"94",NA,NA,"female",-0.45
"95",NA,NA,"female",0.89
"96",NA,NA,"female",0.36
"97",NA,NA,"male",0.4
"98",NA,NA,"female",-0.03
"99",NA,NA,"female",0.16
"100",NA,NA,"female",0.83
"101",NA,NA,"female",0.35
"102",NA,NA,"male",-0.91
"103",NA,NA,"female",1.41
"104",NA,NA,"female",0.04
"105",NA,NA,"male",0.44
"106",NA,NA,"female",-0.66
"107",NA,NA,"male",0.23
"108",NA,NA,"female",0.89
"109",NA,NA,"female",0.8
"110",NA,NA,"female",0.8
"111",NA,NA,"female",1.05
"112",NA,NA,"male",0.08
"113",NA,NA,"female",-0.93
"114",NA,NA,"female",0.77
"115",NA,NA,"female",0.88
"116",NA,NA,"female",0.07
"117",NA,NA,"female",1.04
"118",NA,NA,"male",-0.14
"119",NA,NA,"female",-0.11
"120",NA,NA,"male",0.89
"121",NA,NA,"female",-0.98
"122",NA,NA,"female",0.3
"123",NA,NA,"female",0.92
"124",NA,NA,"female",0.47
"125",NA,NA,"female",0.79
"126",NA,NA,"female",0.3
"127",NA,NA,"male",-0.54
"128",NA,NA,"female",0.76
"129",NA,NA,"female",-0.28
"130",NA,NA,"male",-0.02
"131",NA,NA,"female",0.29
"132",NA,NA,"female",0.84
"133",NA,NA,"male",0.62
"134",NA,NA,"male",-0.24
"135",NA,NA,"female",0.76
"136",NA,NA,"female",0.76
"137",NA,NA,"female",-0.86
"138",NA,NA,"male",0.5
"139",NA,NA,"male",0.02
"140",NA,NA,"female",1.36
"141",NA,NA,"male",0.46
"142",NA,NA,"female",0.18
"143",NA,NA,"male",0.63
"144",NA,NA,"female",0.46
"145",NA,NA,"female",0.58
"146",NA,NA,"female",1.02
"147",NA,NA,"female",0.67
"148",NA,NA,"female",0.65
"149",NA,NA,"female",-0.1
"150",NA,NA,"female",1.11
"151",NA,NA,"male",0.97
"152",NA,NA,"female",0.52
"153",NA,NA,"female",-0.11
"154",NA,NA,"female",0.64
"155",NA,NA,"female",1.04
