"","Exposure","Prediction","Performance","Time"
"1","1",43,21,8.982
"2","1",44,15,11.464
"3","1",55,47,23.236
"4","1",55,53,2.677
"5","20",50,78,31.143
"6","1",80,77,91.241
"7","1",60,76,15.225
"8","20",58,44,30.792
"9","1",76,85,44.2
"10","1",81,54,15.586
"11","20",70,9,19.946
"12","1",78,78,58.248
"13","20",62,28,12.52
"14","1",32,61,24.892
"15","1",65,25,12.053
"16","20",68,82,25.2
"17","1",74,86,100.024
"18","20",91,47,33.144
"19","20",81,34,13.599
"20","20",75,62,38.704
"21","1",72,99,127.462
"22","20",50,70,21.768
"23","1",40,18,135.003
"24","20",92,55,10.715
"25","1",87,44,67.435
"26","20",80,73,20.366
"27","20",85,53,31.818
"28","20",90,48,30.928
"29","1",43,52,25.283
"30","20",80,1,37.082
"31","20",81,19,21.598
"32","20",40,53,56.183
"33","20",75,91,39.126
"34","20",75,61,26.816
"35","1",50,93,40.185
"36","1",92,4,76.208
"37","20",77,13,14.249
"38","1",92,36,10.962
"39","1",50,48,18.174
"40","20",75,65,19.871
"41","1",70,11,7.278
"42","1",30,43,23.301
"43","20",60,85,28.555
"44","20",70,54,23.929
"45","1",71,2,24.865
"46","1",25,47,60.144
"47","20",50,1,21.327
"48","20",76,23,11.607
"49","20",70,50,19.169
"50","1",30,8,73.039
"51","20",89,85,41.038
"52","20",76,97,44.15
"53","20",41,37,39.997
"54","1",9,69,36.901
"55","1",50,56,142.482
"56","20",60,74,46.251
"57","1",31,11,74.032
"58","20",70,31,19.204
"59","1",61,55,42.825
"60","20",39,8,53.681
"61","20",70,73,55.084
"62","20",55,79,27.802
"63","20",50,63,32.342
"64","1",63,13,59.907
"65","1",45,42,12.61
"66","1",78,62,13.846
"67","1",80,49,36.436
"68","1",11,23,59.18
"69","20",60,6,24.628
"70","1",50,36,44.549
"71","1",26,47,36.548
"72","20",73,56,25.944
"73","20",64,5,41.651
"74","20",71,55,36.18
"75","20",60,47,24.572
"76","1",31,20,13.75
"77","20",50,59,41.562
"78","1",65,29,13.146
"79","20",79,16,75.021
"80","20",50,12,14.355
"81","20",77,82,35.983
"82","1",71,26,7.499
"83","1",50,33,39.371
"84","20",60,27,26.736
"85","1",52,49,10.433
"86","20",76,81,80.256
"87","1",82,14,217.21
"88","1",51,9,95.75
"89","20",50,17,13.409
"90","20",90,28,33.245
"91","1",38,39,20.688
"92","20",90,78,23.771
"93","1",78,44,19.426
"94","20",85,35,45.282
"95","20",60,16,7.597
"96","20",60,64,46.952
"97","20",61,74,56.792
"98","20",65,67,15.152
"99","1",70,56,122.718
"100","20",84,64,22.573
"101","20",91,46,11.319
"102","1",50,24,117.523
"103","1",76,76,38.968
"104","20",53,41,71.328
"105","1",40,38,11.522
"106","20",60,33,163.117
"107","20",82,77,33.174
"108","1",62,52,59.756
"109","20",70,29,45.392
"110","1",80,81,21.433
"111","1",82,63,48.539
"112","20",75,61,54.068
"113","20",60,62,23.673
"114","20",84,33,16.574
"115","20",81,19,17.031
"116","20",81,69,48.717
"117","1",70,73,36.765
"118","20",80,31,48.439
"119","20",80,62,50.465
"120","20",65,25,25.802
"121","1",40,68,54.264
"122","20",48,50,18.798
"123","1",42,51,36.757
"124","1",30,77,36.688
"125","1",60,8,107.038
"126","1",75,11,206.484
"127","1",60,59,31.94
"128","1",8,46,45.09
"129","20",36,90,53.335
"130","1",71,49,37.215
"131","20",75,31,9.279
"132","20",61,47,14.24
"133","20",89,94,46.532
"134","1",60,65,21.583
"135","20",59,9,15.85
"136","1",100,55,52.413
"137","1",71,31,61.382
"138","1",71,68,43.246
"139","20",71,68,10.585
"140","20",86,31,7.184
"141","20",24,18,5.605
"142","20",49,11,12.86
"143","20",80,74,140.05
"144","1",61,73,17.306
"145","20",71,41,10.612
"146","1",50,21,17.676
"147","1",71,44,15.725
"148","1",74,90,27.432
"149","20",76,93,72.422
"150","20",80,14,14.205
"151","20",57,28,47.734
"152","1",23,63,27.756
"153","20",57,81,88.008
"154","1",50,14,79.813
"155","20",0,24,11.661
"156","1",20,20,5.537
"157","20",75,16,23.257
"158","1",30,81,13.26
"159","20",100,53,16.563
"160","20",51,36,32.422
"161","1",30,65,22.018
"162","1",70,45,48.651
"163","1",20,64,45.69
"164","1",71,5,70.221
"165","1",64,90,24.16
"166","20",64,45,10.474
"167","20",63,64,52.077
"168","20",100,6,8.367
"169","20",60,44,9.617
"170","1",81,83,14.313
"171","20",46,44,30.628
"172","1",53,52,40.249
"173","1",63,95,20.308
"174","20",83,58,38.783
"175","20",93,39,18.876
"176","1",35,30,23.959
"177","1",35,65,34.96
"178","20",77,54,24.873
"179","20",60,32,36.687
"180","1",65,76,39.8
"181","1",30,73,39.34
"182","1",53,17,17.995
"183","1",68,16,42.49
"184","20",70,86,51.262
"185","1",9,24,17.321
"186","20",65,31,12.3
"187","20",60,47,5.533
"188","1",62,89,56.246
"189","20",60,65,44.288
"190","1",60,70,49.049
"191","20",94,71,23.964
"192","1",65,4,12.05
"193","1",67,18,11.142
"194","20",87,23,12.45
"195","20",59,30,30.145
"196","20",40,33,12.135
"197","1",40,32,25.636
"198","1",82,87,47.915
"199","1",60,63,30.329
"200","20",93,74,53.685
"201","20",82,59,47.222
"202","1",60,61,18.019
"203","20",72,70,61.821
"204","20",40,66,32.215
"205","1",40,49,37.762
"206","1",45,81,16.59
"207","20",70,45,10.352
"208","1",81,28,43.947
"209","1",5,33,27.321
"210","20",50,61,32.999
"211","1",70,58,53.645
"212","20",60,14,47.051
"213","20",35,56,35.013
"214","1",29,94,45.922
"215","20",50,21,360.407
"216","1",50,36,19.274
"217","20",84,31,14.36
"218","1",82,12,27.802
"219","1",41,41,60.418
"220","20",40,64,33.74
"221","1",61,75,59.372
"222","1",94,11,27.722
"223","1",52,73,73.241
"224","20",84,61,31.094
"225","20",65,87,21.472
"226","20",80,83,57.173
"227","1",80,72,72.827
"228","1",20,75,37.867
"229","1",65,22,8.343
"230","20",76,28,13.613
"231","20",81,11,6.292
