"","Group","Test%","Time"
"1","RQ",14.28571,31.87
"2","RQ",19.04762,90.63
"3","RQ",28.57143,25.88
"4","RQ",14.28571,27.98
"5","RQ",33.33333,52.83
"6","RQ",28.57143,71.62
"7","RQ",23.80952,65.5
"8","RQ",14.28571,36.03
"9","RQ",19.04762,23.47
"10","RQ",19.04762,26.73
"11","RQ",28.57143,32.83
"12","RQ",23.80952,39.55
"13","RQ",14.28571,31.42
"14","RQ",38.09524,25.27
"15","RQ",28.57143,54.23
"16","RQ",33.33333,39.42
"17","RQ",42.85714,51.77
"18","RQ",33.33333,107.05
"19","RQ",33.33333,23.42
"20","RQ",28.57143,69.37
"21","RQ",14.28571,29.58
"22","RQ",23.80952,36.08
"23","RQ",23.80952,40.52
"24","RQ",33.33333,24.13
"25","RQ",28.57143,44.8
"26","RQ",28.57143,25.77
"27","RQ",23.80952,27.98
"28","RQ",23.80952,49.05
"29","RQ",23.80952,28.58
"30","RQ",47.61905,58.8
"31","RQ",33.33333,55.67
"32","RQ",28.57143,26.13
"33","RQ",28.57143,29.58
"34","RQ",23.80952,25.1
"35","RQ",23.80952,NA
"36","RQ",47.61905,21.08
"37","RQ",47.61905,20.48
"38","RQ",42.85714,27.13
"39","RQ",28.57143,25.27
"40","RQ",23.80952,23.73
"41","RQ",42.85714,38.77
"42","RQ",42.85714,24.23
"43","RQ",33.33333,30.85
"44","RQ",28.57143,53.4
"45","RQ",28.57143,22.45
"46","RQ",38.09524,22
"47","RQ",38.09524,25.93
"48","RQ",33.33333,43.75
"49","RQ",23.80952,21.93
"50","RQ",52.38095,50.25
"51","RQ",47.61905,35.6
"52","RQ",28.57143,43.55
"53","RQ",57.14286,71.52
"54","RQ",42.85714,23.72
"55","RQ",38.09524,22.8
"56","RQ",57.14286,50.52
"57","RQ",33.33333,22.93
"58","RQ",28.57143,43.38
"59","RQ",47.61905,41.53
"60","RQ",47.61905,36.6
"61","RQ",47.61905,30.5
"62","RQ",42.85714,25.07
"63","RQ",61.90476,29.77
"64","RQ",52.38095,43.17
"65","RQ",47.61905,23.87
"66","RQ",47.61905,35.6
"67","RQ",38.09524,51.48
"68","RQ",57.14286,68.42
"69","RQ",47.61905,34.6
"70","RQ",61.90476,43.12
"71","RQ",57.14286,60.18
"72","RQ",47.61905,30.63
"73","RQ",47.61905,21.4
"74","RQ",47.61905,45.82
"75","RQ",42.85714,42.97
"76","RQ",61.90476,73.08
"77","RQ",61.90476,49.23
"78","RQ",61.90476,86.27
"79","RQ",66.66667,24.65
"80","RQ",66.66667,29.27
"81","RQ",61.90476,52.18
"82","RQ",61.90476,42.23
"83","RQ",57.14286,43.07
"84","RQ",71.42857,66.12
"85","RQ",71.42857,16.75
"86","RQ",61.90476,27.75
"87","RQ",76.19048,33.85
"88","RQ",71.42857,33.12
