"","Group","Test%","Time"
"1","RR",14.28571,25.15
"2","RR",19.04762,12.98
"3","RR",9.52381,23.72
"4","RR",23.80952,12.13
"5","RR",19.04762,38.45
"6","RR",14.28571,14.57
"7","RR",23.80952,14.07
"8","RR",23.80952,22.5
"9","RR",14.28571,7.4
"10","RR",28.57143,10.3
"11","RR",23.80952,14.92
"12","RR",19.04762,31.52
"13","RR",19.04762,7.17
"14","RR",28.57143,16.72
"15","RR",28.57143,20.97
"16","RR",28.57143,15.6
"17","RR",28.57143,10.32
"18","RR",23.80952,16.73
"19","RR",19.04762,12.28
"20","RR",14.28571,13.2
"21","RR",33.33333,11.02
"22","RR",28.57143,20.53
"23","RR",19.04762,13.22
"24","RR",14.28571,14.25
"25","RR",23.80952,15.92
"26","RR",28.57143,15.85
"27","RR",28.57143,20.37
"28","RR",33.33333,17.42
"29","RR",19.04762,35.63
"30","RR",33.33333,13.92
"31","RR",23.80952,38.45
"32","RR",28.57143,22.98
"33","RR",33.33333,15.6
"34","RR",28.57143,14.38
"35","RR",23.80952,21.73
"36","RR",33.33333,13.5
"37","RR",28.57143,16.68
"38","RR",28.57143,16.62
"39","RR",42.85714,29.25
"40","RR",38.09524,21.42
"41","RR",23.80952,14.58
"42","RR",28.57143,12.62
"43","RR",38.09524,9.68
"44","RR",33.33333,18.95
"45","RR",23.80952,15.73
"46","RR",33.33333,12.7
"47","RR",33.33333,24.77
"48","RR",33.33333,14.55
"49","RR",28.57143,20.87
"50","RR",38.09524,14.08
"51","RR",28.57143,14.33
"52","RR",42.85714,24.88
"53","RR",38.09524,22.08
"54","RR",33.33333,38.45
"55","RR",47.61905,26.65
"56","RR",42.85714,22.7
"57","RR",38.09524,18.55
"58","RR",42.85714,12.18
"59","RR",28.57143,32.35
"60","RR",52.38095,13.23
"61","RR",42.85714,25.85
"62","RR",38.09524,28.18
"63","RR",42.85714,NA
"64","RR",47.61905,17.55
"65","RR",38.09524,22.82
"66","RR",33.33333,20.17
"67","RR",38.09524,13.17
"68","RR",38.09524,22.5
"69","RR",42.85714,38.45
"70","RR",52.38095,38.45
"71","RR",47.61905,17.62
"72","RR",42.85714,17
"73","RR",47.61905,17.75
"74","RR",52.38095,13.65
"75","RR",52.38095,16.65
"76","RR",52.38095,18.02
"77","RR",52.38095,17.28
"78","RR",38.09524,14.45
"79","RR",57.14286,24.68
"80","RR",38.09524,15.97
"81","RR",52.38095,10.9
"82","RR",61.90476,15.08
"83","RR",57.14286,16.05
"84","RR",66.66667,12.3
"85","RR",52.38095,14.53
"86","RR",61.90476,11.92
"87","RR",57.14286,17.48
"88","RR",66.66667,14.28
"89","RR",52.38095,13.8
"90","RR",66.66667,18.72
"91","RR",66.66667,22.02
"92","RR",61.90476,18
"93","RR",66.66667,22.72
"94","RR",76.19048,21.72
"95","RR",76.19048,16.38
"96","QR",9.52381,35.38
"97","QR",23.80952,26.02
"98","QR",23.80952,32.77
"99","QR",14.28571,30.87
"100","QR",23.80952,NA
"101","QR",28.57143,27.18
