"","Group","Test%","Time"
"1","Reread",14.28571,25.15
"2","Reread",19.04762,12.98
"3","Reread",9.52381,23.72
"4","Reread",23.80952,12.13
"5","Reread",19.04762,38.45
"6","Reread",14.28571,14.57
"7","Reread",23.80952,14.07
"8","Reread",23.80952,22.5
"9","Reread",14.28571,7.4
"10","Reread",28.57143,10.3
"11","Reread",23.80952,14.92
"12","Reread",19.04762,31.52
"13","Reread",19.04762,7.17
"14","Reread",28.57143,16.72
"15","Reread",28.57143,20.97
"16","Reread",28.57143,15.6
"17","Reread",28.57143,10.32
"18","Reread",23.80952,16.73
"19","Reread",19.04762,12.28
"20","Reread",14.28571,13.2
"21","Reread",33.33333,11.02
"22","Reread",28.57143,20.53
"23","Reread",19.04762,13.22
"24","Reread",14.28571,14.25
"25","Reread",23.80952,15.92
"26","Reread",28.57143,15.85
"27","Reread",28.57143,20.37
"28","Reread",33.33333,17.42
"29","Reread",19.04762,35.63
"30","Reread",33.33333,13.92
"31","Reread",23.80952,38.45
"32","Reread",28.57143,22.98
"33","Reread",33.33333,15.6
"34","Reread",28.57143,14.38
"35","Reread",23.80952,21.73
"36","Reread",33.33333,13.5
"37","Reread",28.57143,16.68
"38","Reread",28.57143,16.62
"39","Reread",42.85714,29.25
"40","Reread",38.09524,21.42
"41","Reread",23.80952,14.58
"42","Reread",28.57143,12.62
"43","Reread",38.09524,9.68
"44","Reread",33.33333,18.95
"45","Reread",23.80952,15.73
"46","Reread",33.33333,12.7
"47","Reread",33.33333,24.77
"48","Reread",33.33333,14.55
"49","Reread",28.57143,20.87
"50","Reread",38.09524,14.08
"51","Reread",28.57143,14.33
"52","Reread",42.85714,24.88
"53","Reread",38.09524,22.08
"54","Reread",33.33333,38.45
"55","Reread",47.61905,26.65
"56","Reread",42.85714,22.7
"57","Reread",38.09524,18.55
"58","Reread",42.85714,12.18
"59","Reread",28.57143,32.35
"60","Reread",52.38095,13.23
"61","Reread",42.85714,25.85
"62","Reread",38.09524,28.18
"63","Reread",42.85714,NA
"64","Reread",47.61905,17.55
"65","Reread",38.09524,22.82
"66","Reread",33.33333,20.17
"67","Reread",38.09524,13.17
"68","Reread",38.09524,22.5
"69","Reread",42.85714,38.45
"70","Reread",52.38095,38.45
"71","Reread",47.61905,17.62
"72","Reread",42.85714,17
"73","Reread",47.61905,17.75
"74","Reread",52.38095,13.65
"75","Reread",52.38095,16.65
"76","Reread",52.38095,18.02
"77","Reread",52.38095,17.28
"78","Reread",38.09524,14.45
"79","Reread",57.14286,24.68
"80","Reread",38.09524,15.97
"81","Reread",52.38095,10.9
"82","Reread",61.90476,15.08
"83","Reread",57.14286,16.05
"84","Reread",66.66667,12.3
"85","Reread",52.38095,14.53
"86","Reread",61.90476,11.92
"87","Reread",57.14286,17.48
"88","Reread",66.66667,14.28
"89","Reread",52.38095,13.8
"90","Reread",66.66667,18.72
