"","Study","r","N","Instrument_Type"
"1","Violin, viola",0.67,109,"Strings"
"2","Strings",0.51,55,"Strings"
"3","Piano",0.4,19,"Non-Strings"
"4","Piano",0.46,30,"Non-Strings"
"5","Piano",0.47,19,"Non-Strings"
"6","Piano",0.228,52,"Non-Strings"
"7","Piano",-0.224,24,"Non-Strings"
"8","Piano",0.104,52,"Non-Strings"
"9","Piano",0.322,16,"Non-Strings"
"10","All",0.231,97,"Non-Strings"
"11","Piano",0.67,57,"Non-Strings"
"12","Piano",0.41,107,"Non-Strings"
"13","Band",0.34,178,"Strings"
"14","Music majors",0.31,64,"Strings"
"15","Music majors",0.54,19,"Strings"
"16","All",0.583,135,"Strings"
