"","Body Satisfaction","Well-being"
"1",4,1
"2",2.4,2.4
"3",3,2.3
"4",3,2.4
"5",3.1,2.8
"6",2.4,3.2
"7",2.9,3.4
"8",3.1,3.4
"9",3,3.6
"10",3.3,3.6
"11",2,3.8
"12",3.1,3.8
"13",2.4,4
"14",3.1,4
"15",3.3,4.2
"16",3.4,4.2
"17",3.3,4.4
"18",3.6,4.4
"19",2.7,4.6
"20",3.3,4.6
"21",3.6,4.6
"22",2.3,4.8
"23",3.7,4.8
"24",4,4.8
"25",2.7,5
"26",3.1,5
"27",3.3,5
"28",3.4,5
"29",4.4,5
"30",3.3,5.2
"31",3.3,5.3
"32",4,5.2
"33",4.1,5.2
"34",3.3,5.6
"35",3.6,5.6
"36",3.9,5.6
"37",4,5.6
"38",5,5.6
"39",3,5.8
"40",3,5.7
"41",3.3,5.8
"42",3.9,5.8
"43",3.9,5.9
"44",4.7,5.8
"45",5,5.8
"46",2.6,6
"47",2.9,6
"48",3.4,6
"49",3.4,6.1
"50",3.9,6
"51",4.3,6
"52",2.6,6.2
"53",3.1,6.2
"54",3.4,6.2
"55",3.7,6.4
"56",4,6.4
"57",4.1,6.4
"58",4,6.6
"59",5,7
