"","Body Satisfaction","Well-being"
"1",4,1
"2",3,2.3
"3",2.4,2.4
"4",3,2.4
"5",3.1,2.8
"6",4,2.8
"7",2.4,3
"8",2.4,3.2
"9",3,3.2
"10",3.7,3.2
"11",2.9,3.4
"12",2.9,3.3
"13",3.1,3.4
"14",3.6,3.4
"15",3,3.6
"16",3.3,3.6
"17",2,3.8
"18",2.7,3.8
"19",3.1,3.8
"20",2.4,4
"21",3.142857143,4
"22",3.285714286,4.2
"23",3.285714286,4.3
"24",3.428571429,4.2
"25",3.142857143,4.4
"26",3.285714286,4.4
"27",3.571428571,4.4
"28",4.285714286,4.4
"29",2.714285714,4.6
"30",3.285714286,4.6
"31",3.571428571,4.6
"32",4,4.6
"33",4.285714286,4.6
"34",4.428571429,4.7
"35",2.285714286,4.8
"36",2.857142857,4.9
"37",3.285714286,4.8
"38",3.714285714,4.8
"39",3.714285714,4.7
"40",4,4.8
"41",2.714285714,5
"42",3.142857143,5
"43",3.285714286,5
"44",3.428571429,5
"45",3.428571429,5.1
"46",3.571428571,5
"47",4.428571429,5
"48",3.285714286,5.2
"49",4,5.2
"50",4.142857143,5.2
"51",4.142857143,5.3
"52",4.714285714,5.2
"53",3.285714286,5.25
"54",3,5.4
"55",4.142857143,5.5
"56",3.142857143,5.6
"57",3.285714286,5.6
"58",3.285714286,5.5
"59",3.571428571,5.6
"60",3.714285714,5.6
"61",3.857142857,5.6
"62",4,5.6
"63",4,5.5
"64",4.142857143,5.6
"65",4.285714286,5.6
"66",4.428571429,5.6
"67",5,5.6
"68",3,5.7
"69",3.714285714,5.7
"70",4,5.75
"71",3,5.8
"72",3.333333333,5.8
"73",3.857142857,5.8
"74",4,5.8
"75",4.714285714,5.8
"76",5,5.8
"77",3.857142857,5.9
"78",4,5.95
"79",2.571428571,6
"80",2.857142857,6
"81",3.285714286,6
"82",3.428571429,6
"83",3.428571429,5.9
"84",3.714285714,6
"85",3.857142857,6
"86",3.857142857,6.1
"87",4.285714286,6
"88",4.571428571,6
"89",4.857142857,6
"90",3.428571429,6.1
"91",4,6.1
"92",2.571428571,6.2
"93",3.142857143,6.2
"94",3.428571429,6.2
"95",3.857142857,6.2
"96",4.285714286,6.2
"97",4.428571429,6.2
"98",4.714285714,6.2
"99",3.714285714,6.4
"100",4,6.4
"101",4.142857143,6.4
"102",4.428571429,6.4
"103",4,6.6
"104",4.571428571,6.6
"105",4.285714286,7
"106",5,7
