"","Group","Mean","SD","N","ReplicationGroup","MoralJudgmentment"
"1","Organic",5.58,0.59,21,"Organic",6.83
"2","Control",5.08,0.62,21,"Organic",5.5
"3","Comfort",4.89,0.57,21,"Organic",6
"4",NA,NA,NA,NA,"Organic",5.17
"5",NA,NA,NA,NA,"Organic",5.83
"6",NA,NA,NA,NA,"Organic",5
"7",NA,NA,NA,NA,"Organic",6.5
"8",NA,NA,NA,NA,"Organic",5
"9",NA,NA,NA,NA,"Organic",4.67
"10",NA,NA,NA,NA,"Organic",5.17
"11",NA,NA,NA,NA,"Organic",6.33
"12",NA,NA,NA,NA,"Organic",4.67
"13",NA,NA,NA,NA,"Organic",6.67
"14",NA,NA,NA,NA,"Organic",5.5
"15",NA,NA,NA,NA,"Organic",4.83
"16",NA,NA,NA,NA,"Organic",6.33
"17",NA,NA,NA,NA,"Organic",7
"18",NA,NA,NA,NA,"Organic",6.33
"19",NA,NA,NA,NA,"Organic",5.83
"20",NA,NA,NA,NA,"Organic",7
"21",NA,NA,NA,NA,"Organic",5.5
"22",NA,NA,NA,NA,"Organic",5.5
"23",NA,NA,NA,NA,"Organic",5.5
"24",NA,NA,NA,NA,"Organic",5.67
"25",NA,NA,NA,NA,"Organic",6.67
"26",NA,NA,NA,NA,"Organic",5.67
"27",NA,NA,NA,NA,"Organic",5.5
"28",NA,NA,NA,NA,"Organic",6.33
"29",NA,NA,NA,NA,"Organic",5.17
"30",NA,NA,NA,NA,"Organic",5.83
"31",NA,NA,NA,NA,"Organic",6.5
"32",NA,NA,NA,NA,"Organic",6.5
"33",NA,NA,NA,NA,"Organic",5
"34",NA,NA,NA,NA,"Organic",5.33
"35",NA,NA,NA,NA,"Organic",5.67
"36",NA,NA,NA,NA,"Organic",6
"37",NA,NA,NA,NA,"Control",6
"38",NA,NA,NA,NA,"Control",5.33
"39",NA,NA,NA,NA,"Control",3.67
"40",NA,NA,NA,NA,"Control",5.83
"41",NA,NA,NA,NA,"Control",3.17
"42",NA,NA,NA,NA,"Control",4.67
"43",NA,NA,NA,NA,"Control",5.5
"44",NA,NA,NA,NA,"Control",7
"45",NA,NA,NA,NA,"Control",6.33
"46",NA,NA,NA,NA,"Control",7
"47",NA,NA,NA,NA,"Control",5.33
"48",NA,NA,NA,NA,"Control",5
"49",NA,NA,NA,NA,"Control",5.67
"50",NA,NA,NA,NA,"Control",6.33
"51",NA,NA,NA,NA,"Control",6.5
"52",NA,NA,NA,NA,"Control",5
"53",NA,NA,NA,NA,"Control",5.17
"54",NA,NA,NA,NA,"Control",6.17
"55",NA,NA,NA,NA,"Control",4.33
"56",NA,NA,NA,NA,"Control",6.5
"57",NA,NA,NA,NA,"Control",4.67
"58",NA,NA,NA,NA,"Control",4.83
"59",NA,NA,NA,NA,"Control",5.5
"60",NA,NA,NA,NA,"Control",6.83
"61",NA,NA,NA,NA,"Control",5.5
"62",NA,NA,NA,NA,"Control",6
"63",NA,NA,NA,NA,"Control",6.67
"64",NA,NA,NA,NA,"Control",4.83
"65",NA,NA,NA,NA,"Control",5
"66",NA,NA,NA,NA,"Control",6.33
"67",NA,NA,NA,NA,"Control",7
"68",NA,NA,NA,NA,"Control",5.5
"69",NA,NA,NA,NA,"Comfort",7
"70",NA,NA,NA,NA,"Comfort",5.67
"71",NA,NA,NA,NA,"Comfort",5.33
"72",NA,NA,NA,NA,"Comfort",5.17
"73",NA,NA,NA,NA,"Comfort",3.5
"74",NA,NA,NA,NA,"Comfort",6.83
"75",NA,NA,NA,NA,"Comfort",6.67
"76",NA,NA,NA,NA,"Comfort",5.67
"77",NA,NA,NA,NA,"Comfort",3.67
"78",NA,NA,NA,NA,"Comfort",4.83
"79",NA,NA,NA,NA,"Comfort",5.33
"80",NA,NA,NA,NA,"Comfort",6.5
"81",NA,NA,NA,NA,"Comfort",6
"82",NA,NA,NA,NA,"Comfort",5.4
"83",NA,NA,NA,NA,"Comfort",6
"84",NA,NA,NA,NA,"Comfort",4.67
"85",NA,NA,NA,NA,"Comfort",6.17
"86",NA,NA,NA,NA,"Comfort",5.5
"87",NA,NA,NA,NA,"Comfort",6.17
"88",NA,NA,NA,NA,"Comfort",5.33
"89",NA,NA,NA,NA,"Comfort",5.83
"90",NA,NA,NA,NA,"Comfort",3.83
"91",NA,NA,NA,NA,"Comfort",4.5
"92",NA,NA,NA,NA,"Comfort",4.83
"93",NA,NA,NA,NA,"Comfort",5.17
"94",NA,NA,NA,NA,"Comfort",6
"95",NA,NA,NA,NA,"Comfort",4.5
"96",NA,NA,NA,NA,"Comfort",5.33
"97",NA,NA,NA,NA,"Comfort",6
"98",NA,NA,NA,NA,"Comfort",6.5
"99",NA,NA,NA,NA,"Comfort",4.83
"100",NA,NA,NA,NA,"Comfort",5.17
"101",NA,NA,NA,NA,"Comfort",5.83
"102",NA,NA,NA,NA,"Comfort",6.33
"103",NA,NA,NA,NA,"Comfort",7
"104",NA,NA,NA,NA,"Comfort",5.5
"105",NA,NA,NA,NA,"Comfort",6.33
"106",NA,NA,NA,NA,"Comfort",6
