"","Group","Motivation"
"1","Comfort",5.5
"2","Comfort",5
"3","Comfort",5.5
"4","Comfort",6
"5","Comfort",1
"6","Comfort",2.5
"7","Comfort",4.5
"8","Comfort",1
"9","Comfort",3.5
"10","Comfort",1.5
"11","Comfort",5.5
"12","Comfort",6
"13","Comfort",1.5
"14","Comfort",1
"15","Comfort",3.5
"16","Comfort",2.5
"17","Comfort",3
"18","Comfort",1
"19","Challenge",2
"20","Challenge",6
"21","Challenge",4.5
"22","Challenge",4.5
"23","Challenge",6
"24","Challenge",7
"25","Challenge",3
"26","Challenge",7
"27","Challenge",3.5
"28","Challenge",5
"29","Challenge",4.5
"30","Challenge",5.5
"31","Challenge",6.5
"32","Challenge",6
"33","Challenge",6
"34","Challenge",7
"35","Challenge",5.5
"36","Control",6
"37","Control",2.5
"38","Control",4.5
"39","Control",3.5
"40","Control",6
"41","Control",5
"42","Control",6
"43","Control",3.5
"44","Control",4
"45","Control",3
"46","Control",5.5
"47","Control",3
"48","Control",6
"49","Control",3
"50","Control",5
"51","Control",6
"52","Control",6.5
"53","Control",3.5
"54","Control",2
