"","ID","Study Technique","Stress Status","%Recalled","Items Recalled","Group"
"1",101,"Reviewing","No Stress",36.667,11,"Rev-NoStress"
"2",102,"Reviewing","No Stress",30,9,"Rev-NoStress"
"3",103,"Reviewing","No Stress",40,12,"Rev-NoStress"
"4",104,"Reviewing","No Stress",23.333,7,"Rev-NoStress"
"5",105,"Reviewing","No Stress",10,3,"Rev-NoStress"
"6",106,"Reviewing","No Stress",20,6,"Rev-NoStress"
"7",107,"Reviewing","No Stress",20,6,"Rev-NoStress"
"8",108,"Reviewing","No Stress",16.667,5,"Rev-NoStress"
"9",109,"Reviewing","No Stress",46.667,14,"Rev-NoStress"
"10",110,"Reviewing","No Stress",43.333,13,"Rev-NoStress"
"11",111,"Reviewing","No Stress",30,9,"Rev-NoStress"
"12",112,"Reviewing","No Stress",53.333,16,"Rev-NoStress"
"13",115,"Reviewing","No Stress",46.667,14,"Rev-NoStress"
"14",116,"Reviewing","No Stress",20,6,"Rev-NoStress"
"15",118,"Reviewing","No Stress",36.667,11,"Rev-NoStress"
"16",119,"Reviewing","No Stress",36.667,11,"Rev-NoStress"
"17",120,"Reviewing","No Stress",30,9,"Rev-NoStress"
"18",122,"Reviewing","No Stress",16.667,5,"Rev-NoStress"
"19",123,"Reviewing","No Stress",20,6,"Rev-NoStress"
"20",124,"Reviewing","No Stress",63.333,19,"Rev-NoStress"
"21",125,"Reviewing","No Stress",16.667,5,"Rev-NoStress"
"22",126,"Reviewing","No Stress",26.667,8,"Rev-NoStress"
"23",127,"Reviewing","No Stress",50,15,"Rev-NoStress"
"24",128,"Reviewing","No Stress",20,6,"Rev-NoStress"
"25",129,"Reviewing","No Stress",13.333,4,"Rev-NoStress"
"26",130,"Reviewing","No Stress",23.333,7,"Rev-NoStress"
"27",133,"Reviewing","No Stress",10,3,"Rev-NoStress"
"28",134,"Reviewing","No Stress",20,6,"Rev-NoStress"
"29",135,"Reviewing","No Stress",13.333,4,"Rev-NoStress"
"30",136,"Reviewing","No Stress",40,12,"Rev-NoStress"
"31",200,"Reviewing","Stress",13.333,4,"Rev-Stress"
"32",201,"Reviewing","Stress",10,3,"Rev-Stress"
"33",202,"Reviewing","Stress",26.667,8,"Rev-Stress"
"34",203,"Reviewing","Stress",3.333,1,"Rev-Stress"
"35",204,"Reviewing","Stress",36.667,11,"Rev-Stress"
"36",205,"Reviewing","Stress",10,3,"Rev-Stress"
"37",207,"Reviewing","Stress",30,9,"Rev-Stress"
"38",208,"Reviewing","Stress",43.333,13,"Rev-Stress"
"39",209,"Reviewing","Stress",33.333,10,"Rev-Stress"
"40",210,"Reviewing","Stress",20,6,"Rev-Stress"
"41",211,"Reviewing","Stress",6.667,2,"Rev-Stress"
"42",212,"Reviewing","Stress",23.333,7,"Rev-Stress"
"43",213,"Reviewing","Stress",23.333,7,"Rev-Stress"
"44",214,"Reviewing","Stress",16.667,5,"Rev-Stress"
"45",215,"Reviewing","Stress",20,6,"Rev-Stress"
"46",216,"Reviewing","Stress",33.333,10,"Rev-Stress"
"47",217,"Reviewing","Stress",23.333,7,"Rev-Stress"
"48",218,"Reviewing","Stress",16.667,5,"Rev-Stress"
"49",219,"Reviewing","Stress",6.667,2,"Rev-Stress"
"50",220,"Reviewing","Stress",30,9,"Rev-Stress"
"51",221,"Reviewing","Stress",30,9,"Rev-Stress"
"52",223,"Reviewing","Stress",40,12,"Rev-Stress"
"53",224,"Reviewing","Stress",13.333,4,"Rev-Stress"
"54",225,"Reviewing","Stress",46.667,14,"Rev-Stress"
