"","Violence","Difficulty","Agression"
"1","Nonviolent","Easy",40
"2","Nonviolent","Easy",60
"3","Nonviolent","Easy",40
"4","Nonviolent","Easy",30
"5","Nonviolent","Easy",20
"6","Nonviolent","Easy",60
"7","Nonviolent","Easy",30
"8","Nonviolent","Easy",80
"9","Nonviolent","Easy",50
"10","Nonviolent","Easy",50
"11","Nonviolent","Easy",80
"12","Nonviolent","Easy",10
"13","Nonviolent","Easy",60
"14","Nonviolent","Easy",50
"15","Nonviolent","Easy",0
"16","Nonviolent","Easy",40
"17","Nonviolent","Easy",30
"18","Nonviolent","Easy",0
"19","Nonviolent","Easy",80
"20","Nonviolent","Easy",0
"21","Nonviolent","Easy",0
"22","Nonviolent","Easy",50
"23","Nonviolent","Easy",80
"24","Nonviolent","Easy",40
"25","Nonviolent","Easy",50
"26","Nonviolent","Easy",20
"27","Nonviolent","Easy",80
"28","Nonviolent","Easy",80
"29","Nonviolent","Easy",30
"30","Nonviolent","Easy",80
"31","Nonviolent","Easy",80
"32","Nonviolent","Easy",30
"33","Nonviolent","Easy",40
"34","Nonviolent","Easy",80
"35","Nonviolent","Easy",80
"36","Nonviolent","Easy",40
"37","Nonviolent","Easy",10
"38","Nonviolent","Easy",10
"39","Nonviolent","Easy",30
"40","Nonviolent","Easy",40
"41","Nonviolent","Easy",60
"42","Nonviolent","Easy",60
"43","Nonviolent","Easy",40
"44","Nonviolent","Easy",30
"45","Nonviolent","Easy",0
"46","Nonviolent","Easy",80
"47","Nonviolent","Easy",60
"48","Nonviolent","Easy",80
"49","Nonviolent","Easy",10
"50","Nonviolent","Easy",50
"51","Nonviolent","Easy",50
"52","Nonviolent","Easy",30
"53","Nonviolent","Easy",20
"54","Nonviolent","Easy",50
"55","Nonviolent","Easy",40
"56","Nonviolent","Easy",60
"57","Nonviolent","Hard",40
"58","Nonviolent","Hard",80
"59","Nonviolent","Hard",10
"60","Nonviolent","Hard",80
"61","Nonviolent","Hard",60
"62","Nonviolent","Hard",80
"63","Nonviolent","Hard",50
"64","Nonviolent","Hard",40
"65","Nonviolent","Hard",50
"66","Nonviolent","Hard",80
"67","Nonviolent","Hard",60
"68","Nonviolent","Hard",80
"69","Nonviolent","Hard",80
"70","Nonviolent","Hard",80
"71","Nonviolent","Hard",80
"72","Nonviolent","Hard",40
"73","Nonviolent","Hard",10
"74","Nonviolent","Hard",80
"75","Nonviolent","Hard",80
"76","Nonviolent","Hard",80
"77","Nonviolent","Hard",50
"78","Nonviolent","Hard",60
"79","Nonviolent","Hard",0
"80","Nonviolent","Hard",80
"81","Nonviolent","Hard",50
"82","Nonviolent","Hard",80
"83","Nonviolent","Hard",30
"84","Nonviolent","Hard",40
"85","Nonviolent","Hard",60
"86","Nonviolent","Hard",80
"87","Nonviolent","Hard",20
"88","Nonviolent","Hard",80
"89","Nonviolent","Hard",80
"90","Nonviolent","Hard",80
"91","Nonviolent","Hard",10
"92","Nonviolent","Hard",30
"93","Nonviolent","Hard",80
"94","Nonviolent","Hard",50
"95","Nonviolent","Hard",30
"96","Nonviolent","Hard",20
"97","Nonviolent","Hard",20
"98","Nonviolent","Hard",80
"99","Nonviolent","Hard",70
"100","Nonviolent","Hard",10
"101","Nonviolent","Hard",60
"102","Nonviolent","Hard",80
"103","Nonviolent","Hard",20
"104","Nonviolent","Hard",80
"105","Nonviolent","Hard",40
"106","Nonviolent","Hard",30
"107","Nonviolent","Hard",20
"108","Nonviolent","Hard",60
"109","Nonviolent","Hard",30
"110","Nonviolent","Hard",80
"111","Nonviolent","Hard",80
"112","Nonviolent","Hard",40
"113","Violent","Easy",30
"114","Violent","Easy",10
