"","ParticipantID","Enjoy_Generic","Enjoy_Organic","Pay_Generic","Pay_Organic","Suspicious"
"1",21,10,10,2,2,TRUE
"2",22,8,8,1,3,TRUE
"3",23,10,10,9,9,TRUE
"4",24,2,2,3,4,TRUE
"5",43,7,7,5,5,TRUE
"6",1,8,8,2,4,FALSE
"7",2,4,3,2,3,FALSE
"8",3,8,7,3,5,FALSE
"9",4,4,6,2,4,FALSE
"10",5,6,7,3,5,FALSE
"11",6,8,6,4,5,FALSE
"12",7,8,9,1,3,FALSE
"13",8,5,9,3,5,FALSE
"14",9,7,7,3,5,FALSE
"15",10,7,8,2,5,FALSE
"16",11,9,10,3,5,FALSE
"17",12,7,10,3,7,FALSE
"18",13,4,9,1,5,FALSE
"19",14,9,10,3,4,FALSE
"20",15,8,8,2,4,FALSE
"21",16,3,8,1,5,FALSE
"22",17,6,8,5,8,FALSE
"23",18,8,9,2,6,FALSE
"24",19,10,10,2,3,FALSE
"25",20,10,9,1,3,FALSE
"26",25,10,10,3,6,FALSE
"27",26,5,6,1,4,FALSE
"28",27,5,8,3,4,FALSE
"29",28,8,7,7,7,FALSE
"30",29,7,7,2,4,FALSE
"31",30,6,8,3,4,FALSE
"32",31,6,3,2,3,FALSE
"33",32,8,9,4,4,FALSE
"34",33,6,7,1,4,FALSE
"35",34,7,9,4,7,FALSE
"36",35,4,6,1,3,FALSE
"37",36,3,4,2,3,FALSE
"38",37,7,8,4,5,FALSE
"39",38,7,7,3,4,FALSE
"40",39,8,7,8,7,FALSE
"41",40,7,10,1,10,FALSE
"42",41,6,8,1,3,FALSE
"43",42,10,10,4,4,FALSE
"44",44,8,9,3,5,FALSE
"45",45,10,10,1,3,FALSE
"46",46,5,8,2,4,FALSE
"47",47,7,10,5,6,FALSE
"48",48,5,9,4,6,FALSE
"49",49,10,10,2,3,FALSE
"50",50,6,9,1,3,FALSE
"51",51,3,2,4,2,FALSE
